"words: ('Starts_Capital',), tags: ('DT',), next words: ()",1231
"words: ('PREFIX_T',), tags: ('DT',), next words: ()",1026
"words: ('PREFIX_Th',), tags: ('DT',), next words: ()",1022
"words: ('PREFIX_The',), tags: ('DT',), next words: ()",897
"words: ('SUFFIX_e',), tags: ('DT',), next words: ()",6558
"words: ('SUFFIX_he',), tags: ('DT',), next words: ()",6195
"words: ('SUFFIX_The',), tags: ('DT',), next words: ()",875
"words: ('The',), tags: ('DT',), next words: ()",875
"words: (), tags: ('DT',), next words: ()",21096
"words: ('┻━┻', 'The'), tags: ('┻━┻', 'DT'), next words: ()",807
"words: ('┻━┻',), tags: ('┻━┻', 'DT'), next words: ()",1134
"words: ('┻━┻', '┻━┻', 'The'), tags: ('┻━┻', '┻━┻', 'DT'), next words: ()",807
"words: ('┻━┻', '┻━┻'), tags: ('┻━┻', '┻━┻', 'DT'), next words: ()",1134
"words: ('Is_alnum',), tags: ('DT',), next words: ()",10548
"words: (), tags: ('┻━┻', 'DT'), next words: ()",1134
"words: (), tags: ('┻━┻', '┻━┻', 'DT'), next words: ()",1134
"words: ('The',), tags: ('DT',), next words: ('Treasury',)",12
"words: (), tags: ('DT',), next words: ('Treasury',)",26
"words: ('Starts_Capital',), tags: ('NNP',), next words: ()",12381
"words: ('PREFIX_T',), tags: ('NNP',), next words: ()",476
"words: ('PREFIX_Tr',), tags: ('NNP',), next words: ()",99
"words: ('PREFIX_Tre',), tags: ('NNP',), next words: ()",45
"words: ('PREFIX_Trea',), tags: ('NNP',), next words: ()",45
"words: ('SUFFIX_y',), tags: ('NNP',), next words: ()",906
"words: ('SUFFIX_ry',), tags: ('NNP',), next words: ()",144
"words: ('SUFFIX_ury',), tags: ('NNP',), next words: ()",53
"words: ('SUFFIX_sury',), tags: ('NNP',), next words: ()",42
"words: ('Treasury',), tags: ('NNP',), next words: ()",42
"words: (), tags: ('NNP',), next words: ()",24834
"words: ('The', 'Treasury'), tags: ('DT', 'NNP'), next words: ()",12
"words: ('The',), tags: ('DT', 'NNP'), next words: ()",126
"words: ('┻━┻', 'The', 'Treasury'), tags: ('┻━┻', 'DT', 'NNP'), next words: ()",12
"words: ('┻━┻', 'The'), tags: ('┻━┻', 'DT', 'NNP'), next words: ()",119
"words: ('Is_alnum',), tags: ('NNP',), next words: ()",10444
"words: (), tags: ('DT', 'NNP'), next words: ()",1145
"words: (), tags: ('┻━┻', 'DT', 'NNP'), next words: ()",137
"words: (), tags: ('NNP',), next words: ('is',)",142
"words: ('PREFIX_i',), tags: ('VBZ',), next words: ()",1024
"words: ('PREFIX_is',), tags: ('VBZ',), next words: ()",981
"words: ('SUFFIX_s',), tags: ('VBZ',), next words: ()",2936
"words: ('SUFFIX_is',), tags: ('VBZ',), next words: ()",981
"words: ('is',), tags: ('VBZ',), next words: ()",981
"words: (), tags: ('VBZ',), next words: ()",5872
"words: ('Is_alnum',), tags: ('VBZ',), next words: ()",2784
"words: (), tags: ('NNP', 'VBZ'), next words: ()",480
"words: (), tags: ('DT', 'NNP', 'VBZ'), next words: ()",37
"words: ('is',), tags: ('VBZ',), next words: ('still',)",14
"words: (), tags: ('VBZ',), next words: ('still',)",14
"words: ('PREFIX_s',), tags: ('RB',), next words: ()",289
"words: ('PREFIX_st',), tags: ('RB',), next words: ()",75
"words: ('PREFIX_sti',), tags: ('RB',), next words: ()",63
"words: ('PREFIX_stil',), tags: ('RB',), next words: ()",63
"words: ('SUFFIX_l',), tags: ('RB',), next words: ()",145
